Source,Overall,Consistently liberal,Mostly liberal,Mixed,Mostly conservative,Consistently conservative
CNN,0.54,0.56,0.66,0.61,0.39,0.14
ABC News,0.50,0.52,0.59,0.56,0.40,0.18
NBC News,0.50,0.56,0.63,0.54,0.37,0.16
CBS News,0.46,0.51,0.55,0.50,0.36,0.16
Fox News,0.44,0.06,0.28,0.47,0.72,0.88
MSNBC,0.38,0.52,0.48,0.39,0.26,0.07
PBS,0.38,0.71,0.50,0.31,0.23,0.08
BBC,0.36,0.69,0.45,0.28,0.22,0.12
New York Times,0.34,0.62,0.45,0.29,0.17,0.03
USA TODAY,0.33,0.29,0.38,0.38,0.29,0.14
Wall Street Journal,0.31,0.35,0.34,0.28,0.32,0.30
NPR,0.29,0.72,0.36,0.19,0.14,0.03
Washington Post,0.27,0.48,0.33,0.23,0.17,0.07
Google News,0.25,0.25,0.26,0.29,0.20,0.11
Yahoo News,0.20,0.17,0.25,0.22,0.14,0.10
Huffington Post,0.18,0.38,0.21,0.13,0.10,0.05
Daily Show,0.16,0.45,0.21,0.10,0.05,0.00
Colbert Report,0.15,0.36,0.20,0.10,0.07,0.02
New Yorker,0.14,0.32,0.18,0.11,0.07,0.01
Economist,0.12,0.30,0.14,0.07,0.08,0.04
Sean Hannity Show,0.12,0.00,0.01,0.06,0.28,0.62
Rush Limbaugh Show,0.12,0.00,0.02,0.06,0.27,0.58
Bloomberg,0.11,0.18,0.13,0.08,0.08,0.07
Glenn Beck Program,0.10,0.00,0.01,0.04,0.24,0.51
Al Jazeera America,0.09,0.28,0.11,0.03,0.03,0.03
Drudge Report,0.08,0.01,0.02,0.04,0.15,0.34
Guardian,0.07,0.21,0.08,0.04,0.03,0.02
Politico,0.07,0.21,0.07,0.02,0.04,0.05
TheBlaze,0.06,0.01,0.00,0.02,0.13,0.37
Mother Jones*,0.06,0.25,0.05,0.01,0.00,0.01
Breitbart,0.04,0.00,0.00,0.02,0.08,0.25
Slate,0.04,0.14,0.04,0.01,0.01,0.00
Ed Schultz Show*,0.03,0.14,0.03,0.00,0.00,0.00
BuzzFeed,0.02,0.06,0.03,0.01,0.01,0.00
Daily Kos*,0.02,0.10,0.01,0.00,0.00,0.00
ThinkProgress*,0.02,0.10,0.02,0.00,0.00,0.01
